course status	course_dept	course_id	course_time	number_seats	open_seats	course_name	instructor	discussion_time
in person	AASP	AASP200	TuTh 7:30pm 8:45pm	20	20	African Civilization	George Kintiba	
in person	AASP	AASP478B	TuTh 2:00pm 3:15pm	20	20	Humanities Topics in African American Studies; African-American Literature:  The Beginning to 1910	Julius Fleming	
online	AASP	AASP100	MWF 10:00am 10:50am	31	31	Introduction to African American Studies	Shane Walsh	
online	AASP	AASP100	MWF 12:00pm 12:50pm	35	35	Introduction to African American Studies	Shane Walsh	
online	AASP	AASP100	TuTh 9:30am 10:45am	35	35	Introduction to African American Studies	Kameron Patterson	
online	AASP	AASP100	TuTh 12:30pm 1:45pm	30	30	Introduction to African American Studies	George Kintiba	
online	AASP	AASP100	TuTh 11:00am 12:15pm	35	35	Introduction to African American Studies	Jason Nichols	
online	AASP	AASP100	TuTh 2:00pm 3:15pm	35	35	Introduction to African American Studies	Jason Nichols	
online	AASP	AASP100	MWF 2:00pm 2:50pm	35	35	Introduction to African American Studies	Shane Walsh	
online	AASP	AASP100H	TuTh 12:30pm 1:45pm	5	5	Introduction to African American Studies	George Kintiba	
online	AASP	AASP101	TuTh 11:00am 12:15pm	30	30	Public Policy and the Black Community	Cecily Hardaway	
online	AASP	AASP200	MW 12:00pm 1:15pm	40	40	African Civilization	George Kintiba	
online	AASP	AASP202	MWF 11:00am 11:50am	35	35	Black Culture in the United States	Renina Jarmon	
online	AASP	AASP202	MWF 1:00pm 1:50pm	35	35	Black Culture in the United States	Renina Jarmon	
online	AASP	AASP202	TuTh 11:00am 12:15pm	35	35	Black Culture in the United States	Robert Choflet	
online	AASP	AASP202	TuTh 2:00pm 3:15pm	35	35	Black Culture in the United States	Robert Choflet	
online	AASP	AASP202H	TuTh 11:00am 12:15pm	8	8	Black Culture in the United States	Robert Choflet	
online	AASP	AASP210	MW 10:00am 11:15am	20	20	Intro to Research Design and Analysis in African American Studies	Angel Dunbar	
